"EffectiveTime","FieldName","Region","Value"
"01-Dec-2019 00:00:00","WIND_ACTUAL","ALL",399
"01-Dec-2019 00:15:00","WIND_ACTUAL","ALL",399
"01-Dec-2019 00:30:00","WIND_ACTUAL","ALL",389
"01-Dec-2019 00:45:00","WIND_ACTUAL","ALL",344
"01-Dec-2019 01:00:00","WIND_ACTUAL","ALL",276
"01-Dec-2019 01:15:00","WIND_ACTUAL","ALL",246
"01-Dec-2019 01:30:00","WIND_ACTUAL","ALL",235
"01-Dec-2019 01:45:00","WIND_ACTUAL","ALL",221
"01-Dec-2019 02:00:00","WIND_ACTUAL","ALL",201
"01-Dec-2019 02:15:00","WIND_ACTUAL","ALL",203
"01-Dec-2019 02:30:00","WIND_ACTUAL","ALL",202
"01-Dec-2019 02:45:00","WIND_ACTUAL","ALL",201
"01-Dec-2019 03:00:00","WIND_ACTUAL","ALL",220
"01-Dec-2019 03:15:00","WIND_ACTUAL","ALL",225
"01-Dec-2019 03:30:00","WIND_ACTUAL","ALL",239
"01-Dec-2019 03:45:00","WIND_ACTUAL","ALL",264
"01-Dec-2019 04:00:00","WIND_ACTUAL","ALL",254
"01-Dec-2019 04:15:00","WIND_ACTUAL","ALL",275
"01-Dec-2019 04:30:00","WIND_ACTUAL","ALL",324
"01-Dec-2019 04:45:00","WIND_ACTUAL","ALL",349
"01-Dec-2019 05:00:00","WIND_ACTUAL","ALL",392
"01-Dec-2019 05:15:00","WIND_ACTUAL","ALL",439
"01-Dec-2019 05:30:00","WIND_ACTUAL","ALL",521
"01-Dec-2019 05:45:00","WIND_ACTUAL","ALL",542
"01-Dec-2019 06:00:00","WIND_ACTUAL","ALL",564
"01-Dec-2019 06:15:00","WIND_ACTUAL","ALL",581
"01-Dec-2019 06:30:00","WIND_ACTUAL","ALL",677
"01-Dec-2019 06:45:00","WIND_ACTUAL","ALL",648
"01-Dec-2019 07:00:00","WIND_ACTUAL","ALL",618
"01-Dec-2019 07:15:00","WIND_ACTUAL","ALL",638
"01-Dec-2019 07:30:00","WIND_ACTUAL","ALL",610
"01-Dec-2019 07:45:00","WIND_ACTUAL","ALL",588
"01-Dec-2019 08:00:00","WIND_ACTUAL","ALL",596
"01-Dec-2019 08:15:00","WIND_ACTUAL","ALL",620
"01-Dec-2019 08:30:00","WIND_ACTUAL","ALL",660
"01-Dec-2019 08:45:00","WIND_ACTUAL","ALL",650
"01-Dec-2019 09:00:00","WIND_ACTUAL","ALL",605
"01-Dec-2019 09:15:00","WIND_ACTUAL","ALL",579
"01-Dec-2019 09:30:00","WIND_ACTUAL","ALL",569
"01-Dec-2019 09:45:00","WIND_ACTUAL","ALL",528
"01-Dec-2019 10:00:00","WIND_ACTUAL","ALL",468
"01-Dec-2019 10:15:00","WIND_ACTUAL","ALL",438
"01-Dec-2019 10:30:00","WIND_ACTUAL","ALL",386
"01-Dec-2019 10:45:00","WIND_ACTUAL","ALL",345
"01-Dec-2019 11:00:00","WIND_ACTUAL","ALL",326
"01-Dec-2019 11:15:00","WIND_ACTUAL","ALL",297
"01-Dec-2019 11:30:00","WIND_ACTUAL","ALL",291
"01-Dec-2019 11:45:00","WIND_ACTUAL","ALL",235
"01-Dec-2019 12:00:00","WIND_ACTUAL","ALL",216
"01-Dec-2019 12:15:00","WIND_ACTUAL","ALL",186
"01-Dec-2019 12:30:00","WIND_ACTUAL","ALL",177
"01-Dec-2019 12:45:00","WIND_ACTUAL","ALL",166
