"DateTime","Actual Wind Generation","Forecast Wind Generation"
"2021-05-11 00:00:00",2572,2961
"2021-05-11 00:15:00",2549,2929
"2021-05-11 00:30:00",2549,2897
"2021-05-11 00:45:00",2511,2865
"2021-05-11 01:00:00",2465,2778
"2021-05-11 01:15:00",2457,2771
"2021-05-11 01:30:00",2485,2764
"2021-05-11 01:45:00",2579,2757
"2021-05-11 02:00:00",2558,2749
"2021-05-11 02:15:00",2635,2730
"2021-05-11 02:30:00",2614,2710
"2021-05-11 02:45:00",2611,2691
"2021-05-11 03:00:00",2613,2671
"2021-05-11 03:15:00",2620,2662
"2021-05-11 03:30:00",2633,2653
"2021-05-11 03:45:00",2576,2644
"2021-05-11 04:00:00",2543,2636
"2021-05-11 04:15:00",2471,2616
"2021-05-11 04:30:00",2408,2596
"2021-05-11 04:45:00",2380,2577
"2021-05-11 05:00:00",2385,2557
"2021-05-11 05:15:00",2360,2531
"2021-05-11 05:30:00",2232,2506
"2021-05-11 05:45:00",2192,2481
"2021-05-11 06:00:00",2190,2455
"2021-05-11 06:15:00",2187,2419
"2021-05-11 06:30:00",2148,2382
"2021-05-11 06:45:00",2166,2346
"2021-05-11 07:00:00",2154,2377
"2021-05-11 07:15:00",2136,2362
"2021-05-11 07:30:00",2082,2346
"2021-05-11 07:45:00",2039,2331
"2021-05-11 08:00:00",1995,2312
"2021-05-11 08:15:00",2088,2322
"2021-05-11 08:30:00",2098,2331
"2021-05-11 08:45:00",2210,2341
"2021-05-11 09:00:00",2352,2351
"2021-05-11 09:15:00",2432,2348
"2021-05-11 09:30:00",2454,2344
"2021-05-11 09:45:00",2470,2341
"2021-05-11 10:00:00",2506,2338
"2021-05-11 10:15:00",2432,2318
"2021-05-11 10:30:00",2436,2298
"2021-05-11 10:45:00",2393,2278
"2021-05-11 11:00:00",2346,2258
"2021-05-11 11:15:00",2360,2238
"2021-05-11 11:30:00",2341,2218
"2021-05-11 11:45:00",2365,2199
"2021-05-11 12:00:00",2367,2179
"2021-05-11 12:15:00",2337,2134
"2021-05-11 12:30:00",2353,2089
"2021-05-11 12:45:00",2293,2044
"2021-05-11 13:00:00",2210,1716
"2021-05-11 13:15:00",2188,1696
"2021-05-11 13:30:00",2129,1676
"2021-05-11 13:45:00",2033,1657
"2021-05-11 14:00:00",1983,1637
"2021-05-11 14:15:00",1916,1620
"2021-05-11 14:30:00",1840,1603
"2021-05-11 14:45:00",1767,1585
"2021-05-11 15:00:00",1759,1568
"2021-05-11 15:15:00",1664,1538
"2021-05-11 15:30:00",1586,1508
"2021-05-11 15:45:00",1497,1478
"2021-05-11 16:00:00",1487,1449
"2021-05-11 16:15:00",1427,1401
"2021-05-11 16:30:00",1414,1354
"2021-05-11 16:45:00",1317,1306
"2021-05-11 17:00:00",1219,1259
"2021-05-11 17:15:00",1142,1227
"2021-05-11 17:30:00",1077,1196
"2021-05-11 17:45:00",1038,1165
"2021-05-11 18:00:00",964,1137
"2021-05-11 18:15:00",964,1112
"2021-05-11 18:30:00",829,1088
"2021-05-11 18:45:00",805,1064
"2021-05-11 19:00:00",827,985
"2021-05-11 19:15:00",793,975
"2021-05-11 19:30:00",780,965
"2021-05-11 19:45:00",745,954
"2021-05-11 20:00:00",705,944
"2021-05-11 20:15:00",675,919
"2021-05-11 20:30:00",650,893
"2021-05-11 20:45:00",627,868
"2021-05-11 21:00:00",637,843
"2021-05-11 21:15:00",656,834
"2021-05-11 21:30:00",654,824
"2021-05-11 21:45:00",662,815
"2021-05-11 22:00:00",642,806
"2021-05-11 22:15:00",598,787
"2021-05-11 22:30:00",,768
"2021-05-11 22:45:00",,749
"2021-05-11 23:00:00",,729
"2021-05-11 23:15:00",,714
"2021-05-11 23:30:00",,699
"2021-05-11 23:45:00",,683
